query,postive_doc,negative_doc
民法中关于民事主体法律地位平等原则的规定是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第四条【平等原则】民事主体在民事活动中的法律地位一律平等。","第一编 总 则,无,第四章 非法人组织,无,第一百零五条【非法人组织的代表人】非法人组织可以确定一人或者数人代表该组织从事民事活动。"
民法典总则中关于民事主体自愿原则的具体法律规定是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第五条【自愿原则】民事主体从事民事活动应当遵循自愿原则按照自己的意思设立、变更、终止民事法律关系。","第二编 物 权,第一分编 通 则,第二章 物权的设立、变更、转让和消灭,第三节 其 他 规 定,第二百二十九条【法律文书或征收决定导致的物权变动】因人民法院、仲裁机构的法律文书或者人民政府的征收决定等导致物权设立、变更、转让或者消灭的自法律文书或者征收决定等生效时发生效力。"
民法典总则中民事主体自愿原则的法律条文,"第一编 总 则,无,第一章 基 本 规 定,无,第五条【自愿原则】民事主体从事民事活动应当遵循自愿原则按照自己的意思设立、变更、终止民事法律关系。","第二编 物 权,第二分编 所 有 权,第六章 业主的建筑物区分所有权,无,第二百七十五条【车位、车库的归属】建筑区划内规划用于停放汽车的车位、车库的归属由当事人通过出售、附赠或者出租等方式约定。占用业主共有的道路或者其他场地用于停放汽车的车位属于业主共有。"
民法典中民事主体从事民事活动应遵循的自愿原则具体内容是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第五条【自愿原则】民事主体从事民事活动应当遵循自愿原则按照自己的意思设立、变更、终止民事法律关系。","第七编 侵 权 责 任,无,第一章 一 般 规 定,无,第一千一百六十六条【无过错责任原则】行为人造成他人民事权益损害不论行为人有无过错法律规定应当承担侵权责任的依照其规定。"
民事主体从事民事活动应当遵循的公平原则是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第六条【公平原则】民事主体从事民事活动应当遵循公平原则合理确定各方的权利和义务。","第三编 合同,第二分编 典型合同,第十二章 借款合同,无,第六百七十六条【借款人逾期返还借款的责任】借款人未按照约定的期限返还借款的应当按照约定或者国家有关规定支付逾期利息。"
民法典中民事主体从事民事活动应遵循的公平原则具体内容,"第一编 总 则,无,第一章 基 本 规 定,无,第六条【公平原则】民事主体从事民事活动应当遵循公平原则合理确定各方的权利和义务。","第四编 人 格 权,无,第一章 一 般 规 定,无,第九百九十七条【人格权行为禁令】民事主体有证据证明行为人正在实施或者即将实施侵害其人格权的违法行为不及时制止将使其合法权益受到难以弥补的损害的有权依法向人民法院申请采取责令行为人停止有关行为的措施。"
民法典总则中关于民事主体遵循公平原则的规定是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第六条【公平原则】民事主体从事民事活动应当遵循公平原则合理确定各方的权利和义务。","第四编 人 格 权,无,第三章 姓名权和名称权,无,第一千零一十二条【姓名权】自然人享有姓名权有权依法决定、使用、变更或者许可他人使用自己的姓名但是不得违背公序良俗。"
民法典中民事主体从事民事活动应遵循的诚信原则具体内容是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第七条【诚信原则】民事主体从事民事活动应当遵循诚信原则秉持诚实恪守承诺。","第三编 合 同,第二分编 典 型 合 同,第十一章 赠 与 合 同,无,第六百五十八条【赠与人任意撤销权及其限制】赠与人在赠与财产的权利转移之前可以撤销赠与。经过公证的赠与合同或者依法不得撤销的具有救灾、扶贫、助残等公益、道德义务性质的赠与合同不适用前款规定。"
民事主体从事民事活动应当遵循的诚信原则具体内容,"第一编 总 则,无,第一章 基 本 规 定,无,第七条【诚信原则】民事主体从事民事活动应当遵循诚信原则秉持诚实恪守承诺。","第一编 总则,无,第三章 法 人,第三节 非营利法人,第九十一条【社会团体法人的章程及组织机构】设立社会团体法人应当依法制定法人章程。社会团体法人应当设会员大会或者会员代表大会等权力机构。社会团体法人应当设理事会等执行机构。理事长或者会长等负责人按照法人章程的规定担任法定代表人。"
民事主体从事民事活动应当遵循的诚信原则是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第七条【诚信原则】民事主体从事民事活动应当遵循诚信原则秉持诚实恪守承诺。","第一编 总 则,无,第一章 基 本 规 定,无,第十一条【优先适用特别法】其他法律对民事关系有特别规定的依照其规定。"
民事主体从事民事活动应遵守法律和公序良俗原则的法律规定,"第一编 总 则,无,第一章 基 本 规 定,无,第八条【守法与公序良俗原则】民事主体从事民事活动不得违反法律不得违背公序良俗。","第三编 合同,第二分编 典型合同,第十九章 运输合同,第二节 客运合同,第八百二十一条【承运人擅自降低或者提高服务标准的后果】承运人擅自降低服务标准的应当根据旅客的请求退票或者减收票款提高服务标准的不得加收票款。"
民事主体从事民事活动必须遵守的法律和公序良俗原则,"第一编 总 则,无,第一章 基 本 规 定,无,第八条【守法与公序良俗原则】民事主体从事民事活动不得违反法律不得违背公序良俗。","第六编 继 承,无,第四章 遗产的处理,无,第一千一百四十五条【遗产管理人的选任】继承开始后遗嘱执行人为遗产管理人没有遗嘱执行人的继承人应当及时推选遗产管理人继承人未推选的由继承人共同担任遗产管理人没有继承人或者继承人均放弃继承的由被继承人生前住所地的民政部门或者村民委员会担任遗产管理人。"
民事主体从事民事活动不得违反法律和公序良俗的原则依据,"第一编 总 则,无,第一章 基 本 规 定,无,第八条【守法与公序良俗原则】民事主体从事民事活动不得违反法律不得违背公序良俗。","第一编 总 则,无,第四章 非法人组织,无,第一百零五条【非法人组织的代表人】非法人组织可以确定一人或者数人代表该组织从事民事活动。"
民事主体在从事民事活动时应遵循的绿色原则具体内容是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第九条【绿色原则】民事主体从事民事活动应当有利于节约资源、保护生态环境。","第七编 侵 权 责 任,无,第五章 机动车交通事故责任,无,第一千二百一十七条【好意同乘的责任承担】非营运机动车发生交通事故造成无偿搭乘人损害属于该机动车一方责任的应当减轻其赔偿责任但是机动车使用人有故意或者重大过失的除外。"
民法中民事主体从事民事活动应遵循的绿色原则内容是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第九条【绿色原则】民事主体从事民事活动应当有利于节约资源、保护生态环境。","第二编 物 权,第二分编 所 有 权,第五章 国家所有权和集体,无,第二百五十四条【国防资产和基础设施的国家所有权】国防资产属于国家所有。铁路、公路、电力设施、电信设施和油气管道等基础设施依照法律规定为国家所有的属于国家所有。"
民法典中关于民事主体从事民事活动应遵循的绿色原则是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第九条【绿色原则】民事主体从事民事活动应当有利于节约资源、保护生态环境。","第一编 总 则,无,第七章 代 理,第二节 委 托 代 理,第一百七十二条【表见代理】行为人没有代理权、超越代理权或者代理权终止后仍然实施代理行为相对人有理由相信行为人有代理权的代理行为有效。"
民事纠纷处理中法律适用及公序良俗条款,"第一编 总 则,无,第一章 基 本 规 定,无,第十条【法律适用】处理民事纠纷应当依照法律法律没有规定的可以适用习惯但是不得违背公序良俗。","第六编 继 承,无,第二章 法 定 继 承,无,第一千一百三十条【遗产分配的原则】同一顺序继承人继承遗产的份额一般应当均等。对生活有特殊困难又缺乏劳动能力的继承人分配遗产时应当予以照顾。对被继承人尽了主要扶养义务或者与被继承人共同生活的继承人分配遗产时可以多分。有扶养能力和有扶养条件的继承人不尽扶养义务的分配遗产时应当不分或者少分。继承人协商同意的也可以不均等。"
处理民事纠纷时法律没有规定的情况下如何适用习惯？,"第一编 总 则,无,第一章 基 本 规 定,无,第十条【法律适用】处理民事纠纷应当依照法律法律没有规定的可以适用习惯但是不得违背公序良俗。","第三编 合 同,第一分编 通 则,第五章 合同的保全,无,第五百三十五条【债权人代位权】因债务人怠于行使其债权或者与该债权有关的从权利影响债权人的到期债权实现的债权人可以向人民法院请求以自己的名义代位行使债务人对相对人的权利但是该权利专属于债务人自身的除外。代位权的行使范围以债权人的到期债权为限。债权人行使代位权的必要费用由债务人负担。相对人对债务人的抗辩可以向债权人主张。"
民事纠纷处理中法律适用的具体规则是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第十条【法律适用】处理民事纠纷应当依照法律法律没有规定的可以适用习惯但是不得违背公序良俗。","第四编 人 格 权,无,第五章 名誉权和荣誉权,无,第一千零二十四条【名誉权】民事主体享有名誉权。任何组织或者个人不得以侮辱、诽谤等方式侵害他人的名誉权。名誉是对民事主体的品德、声望、才能、信用等的社会评价。"
其他法律对民事关系有特别规定的如何处理,"第一编 总 则,无,第一章 基 本 规 定,无,第十一条【优先适用特别法】其他法律对民事关系有特别规定的依照其规定。","第五编 婚 姻 家 庭,无,第四章 离 婚,无,第一千零七十七条【离婚冷静期】自婚姻登记机关收到离婚登记申请之日起三十日内任何一方不愿意离婚的可以向婚姻登记机关撤回离婚登记申请。前款规定期限届满后三十日内双方应当亲自到婚姻登记机关申请发给离婚证未申请的视为撤回离婚登记申请。"
民事关系中特别法律优先适用的规定是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第十一条【优先适用特别法】其他法律对民事关系有特别规定的依照其规定。","第二编 物 权,第三分编 用 益 物 权,第十三章 宅基地使用权,无,第三百六十二条【宅基地使用权的定义】宅基地使用权人依法对集体所有的土地享有占有和使用的权利有权依法利用该土地建造住宅及其附属设施。"
民事关系中特别法优先适用的规定是什么？,"第一编 总 则,无,第一章 基 本 规 定,无,第十一条【优先适用特别法】其他法律对民事关系有特别规定的依照其规定。","第三编 合 同,第二分编 典 型 合 同,第九章 买 卖 合 同,无,第六百三十条【标的物孳息的归属】标的物在交付之前产生的孳息归出卖人所有交付之后产生的孳息归买受人所有。但是当事人另有约定的除外。"
中华人民共和国民事活动适用法律的效力范围规定,"第一编 总 则,无,第一章 基 本 规 定,无,第十二条【效力范围】中华人民共和国领域内的民事活动适用中华人民共和国法律。法律另有规定的依照其规定。","第四编 人 格 权,无,第四章 肖 像 权,无,第一千零一十九条【肖像权消极权能】任何组织或者个人不得以丑化、污损或者利用信息技术手段伪造等方式侵害他人的肖像权。未经肖像权人同意不得制作、使用、公开肖像权人的肖像但是法律另有规定的除外。未经肖像权人同意肖像作品权利人不得以发表、复制、发行、出租、展览等方式使用或者公开肖像权人的肖像。"
中华人民共和国民法典中关于民事活动适用法律效力范围的规定,"第一编 总 则,无,第一章 基 本 规 定,无,第十二条【效力范围】中华人民共和国领域内的民事活动适用中华人民共和国法律。法律另有规定的依照其规定。","第七编 侵权 责 任,无,第三章 责任主体的特殊规定,无,第一千一百八十八条【监护人责任】无民事行为能力人、限制民事行为能力人造成他人损害的由监护人承担侵权责任。监护人尽到监护职责的可以减轻其侵权责任。有财产的无民事行为能力人、限制民事行为能力人造成他人损害的从本人财产中支付赔偿费用不足部分由监护人赔偿。"
中华人民共和国民事活动法律适用范围规定,"第一编 总 则,无,第一章 基 本 规 定,无,第十二条【效力范围】中华人民共和国领域内的民事活动适用中华人民共和国法律。法律另有规定的依照其规定。","第三编 合 同,第二分编 典 型 合 同,第二十二章 仓 储 合 同,无,第九百一十条【仓单性质和转让】仓单是提取仓储物的凭证。存货人或者仓单持有人在仓单上背书并经保管人签名或者盖章的可以转让提取仓储物的权利。"
自然人民事权利能力从何时开始到何时结束,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十三条【自然人民事权利能力的起止】自然人从出生时起到死亡时止具有民事权利能力依法享有民事权利承担民事义务。","第二编 物 权,第三分编 用 益 物 权,第十二章 建设用地使用权,无,第三百五十七条【建设用地使用权随建筑物等设施的流转而一并处分】建筑物、构筑物及其附属设施转让、互换、出资或者赠与的该建筑物、构筑物及其附属设施占用范围内的建设用地使用权一并处分。"
自然人民事权利能力的起止时间及法律依据,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十三条【自然人民事权利能力的起止】自然人从出生时起到死亡时止具有民事权利能力依法享有民事权利承担民事义务。","第五编 婚 姻 家 庭,无,第三章 家 庭 关 系,第二节 父母子女关系和其他,第一千零六十九条【子女应尊重父母的婚姻权利】子女应当尊重父母的婚姻权利不得干涉父母离婚、再婚以及婚后的生活。子女对父母的赡养义务不因父母的婚姻关系变化而终止。"
自然人民事权利能力的起止时间及法律义务,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十三条【自然人民事权利能力的起止】自然人从出生时起到死亡时止具有民事权利能力依法享有民事权利承担民事义务。","第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第四百一十条【抵押权的实现】债务人不履行到期债务或者发生当事人约定的实现抵押权的情形抵押权人可以与抵押人协议以抵押财产折价或者以拍卖、变卖该抵押财产所得的价款优先受偿。协议损害其他债权人利益的其他债权人可以请求人民法院撤销该协议。抵押权人与抵押人未就抵押权实现方式达成协议的抵押权人可以请求人民法院拍卖、变卖抵押财产。抵押财产折价或者变卖的应当参照市场价格。"
自然人的民事权利能力是否平等？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十四条【自然人民事权利能力平等】自然人的民事权利能力一律平等。","第一编 总 则,无,第二章 自 然 人,第二节 监 护,第三十五条【监护人履行职责的原则与要求】监护人应当按照最有利于被监护人的原则履行监护职责。监护人除为维护被监护人利益外不得处分被监护人的财产。未成年人的监护人履行监护职责在作出与被监护人利益有关的决定时应当根据被监护人的年龄和智力状况尊重被监护人的真实意愿。成年人的监护人履行监护职责应当最大程度地尊重被监护人的真实意愿保障并协助被监护人实施与其智力、精神健康状况相适应的民事法律行为。对被监护人有能力独立处理的事务监护人不得干涉。"
自然人的民事权利能力是否平等？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十四条【自然人民事权利能力平等】自然人的民事权利能力一律平等。","第二编 物 权,第二分编 所 有 权,第九章 所有权取得的特别规定,无,第三百一十一条【善意取得】无处分权人将不动产或者动产转让给受让人的所有权人有权追回除法律另有规定外符合下列情形的受让人取得该不动产或者动产的所有权不需要登记的已经交付给受让人。受让人依据前款规定取得不动产或者动产的所有权的原所有权人有权向无处分权人请求损害赔偿。当事人善意取得其他物权的参照适用前两款规定。"
《民法典》中关于自然人民事权利能力平等的具体规定是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十四条【自然人民事权利能力平等】自然人的民事权利能力一律平等。","第一编 总 则,无,第三章 法 人,第一节 一 般 规 定,第五十七条【法人的定义】法人是具有民事权利能力和民事行为能力依法独立享有民事权利和承担民事义务的组织。"
自然人出生和死亡时间的判断依据是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十五条【自然人出生和死亡时间的判断标准】自然人的出生时间和死亡时间以出生证明、死亡证明记载的时间为准没有出生证明、死亡证明的以户籍登记或者其他有效身份登记记载的时间为准。有其他证据足以推翻以上记载时间的以该证据证明的时间为准。","第一编 总 则,无,第二章 自 然 人,第三节 宣告失踪和宣告死亡,第四十条【宣告失踪的条件】自然人下落不明满二年的利害关系人可以向人民法院申请宣告该自然人为失踪人。"
自然人出生和死亡时间的判断标准是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十五条【自然人出生和死亡时间的判断标准】自然人的出生时间和死亡时间以出生证明、死亡证明记载的时间为准没有出生证明、死亡证明的以户籍登记或者其他有效身份登记记载的时间为准。有其他证据足以推翻以上记载时间的以该证据证明的时间为准。","第一编 总 则,无,第二章 自 然 人,第二节 监 护,第二十九条【遗嘱指定监护人】被监护人的父母担任监护人的可以通过遗嘱指定监护人。"
自然人出生和死亡时间的法律判定依据是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十五条【自然人出生和死亡时间的判断标准】自然人的出生时间和死亡时间以出生证明、死亡证明记载的时间为准没有出生证明、死亡证明的以户籍登记或者其他有效身份登记记载的时间为准。有其他证据足以推翻以上记载时间的以该证据证明的时间为准。","第一编 总 则,无,第三章 法 人,第一节 一 般 规 定,第六十一条【法定代表人的定义及行为的法律后果】依照法律或者法人章程的规定代表法人从事民事活动的负责人为法人的法定代表人。法定代表人以法人名义从事的民事活动其法律后果由法人承受。法人章程或者法人权力机构对法定代表人代表权的限制不得对抗善意相对人。"
胎儿在遗产继承和接受赠与中享有民事权利能力的规定是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十六条【胎儿利益的特殊保护】涉及遗产继承、接受赠与等胎儿利益保护的胎儿视为具有民事权利能力。但是胎儿娩出时为死体的其民事权利能力自始不存在。","第一编 总 则,无,第三章 法 人,第一节 一 般 规 定,第六十四条【法人变更登记】法人存续期间登记事项发生变化的应当依法向登记机关申请变更登记。"
胎儿在遗产继承和接受赠与中的民事权利能力有何特殊规定？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十六条【胎儿利益的特殊保护】涉及遗产继承、接受赠与等胎儿利益保护的胎儿视为具有民事权利能力。但是胎儿娩出时为死体的其民事权利能力自始不存在。","第五编 婚 姻 家 庭,无,第五章 收 养,第一节 收养关系的成立,第一千一百零一条【共同收养】有配偶者收养子女应当夫妻共同收养。"
胎儿在遗产继承和接受赠与中的民事权利能力如何规定？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十六条【胎儿利益的特殊保护】涉及遗产继承、接受赠与等胎儿利益保护的胎儿视为具有民事权利能力。但是胎儿娩出时为死体的其民事权利能力自始不存在。","第二编 物 权,第二分编 所 有 权,第四章 一 般 规 定,无,第二百四十五条【征用】因抢险救灾、疫情防控等紧急需要依照法律规定的权限和程序可以征用组织、个人的不动产或者动产。被征用的不动产或者动产使用后应当返还被征用人。组织、个人的不动产或者动产被征用或者征用后毁损、灭失的应当给予补偿。"
中国民法中关于成年人与未成年人年龄划分的具体规定是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十七条【成年人与未成年人的年龄标准】十八周岁以上的自然人为成年人。不满十八周岁的自然人为未成年人。","第五编 婚 姻 家 庭,无,第一章 一 般 规 定,无,第一千零四十二条【婚姻家庭的禁止性规定】禁止包办、买卖婚姻和其他干涉婚姻自由的行为。禁止借婚姻索取财物。禁止重婚。禁止有配偶者与他人同居。禁止家庭暴力。禁止家庭成员间的虐待和遗弃。"
民法典中关于成年人和未成年人年龄划分的法律规定是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十七条【成年人与未成年人的年龄标准】十八周岁以上的自然人为成年人。不满十八周岁的自然人为未成年人。","第一编 总 则,无,第三章 法 人,第三节 非营利法人,第八十七条【非营利法人的定义及类型】为公益目的或者其他非营利目的成立不向出资人、设立人或者会员分配所取得利润的法人为非营利法人。非营利法人包括事业单位、社会团体、基金会、社会服务机构等。"
民事权利能力中成年人与未成年人的年龄划分标准是什么？,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十七条【成年人与未成年人的年龄标准】十八周岁以上的自然人为成年人。不满十八周岁的自然人为未成年人。","第三编 合同,第二分编 典型合同,第十四章 租赁合同,无,第七百零三条【租赁合同定义】租赁合同是出租人将租赁物交付承租人使用、收益承租人支付租金的合同。"
完全民事行为能力人的法律定义及认定条件,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十八条【完全民事行为能力人】成年人为完全民事行为能力人可以独立实施民事法律行为。十六周岁以上的未成年人以自己的劳动收入为主要生活来源的视为完全民事行为能力人。","第二编 物 权,第三分编 用 益 物 权,第十一章 土地承包经营权,无,第三百三十一条【土地承包经营权的定义】土地承包经营权人依法对其承包经营的耕地、林地、草地等享有占有、使用和收益的权利有权从事种植业、林业、畜牧业等农业生产。"
民法典中关于16周岁以上未成年人视为完全民事行为能力人的规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十八条【完全民事行为能力人】成年人为完全民事行为能力人可以独立实施民事法律行为。十六周岁以上的未成年人以自己的劳动收入为主要生活来源的视为完全民事行为能力人。","第二编 物 权,第四分编 担 保 物 权,第十七章 抵 押 权,第一节 一般抵押权,第三百九十七条【建筑物与建设用地使用权同时抵押规则】以建筑物抵押的该建筑物占用范围内的建设用地使用权一并抵押。以建设用地使用权抵押的该土地上的建筑物一并抵押。抵押人未依据前款规定一并抵押的未抵押的财产视为一并抵押。"
十六周岁以上未成年人视为完全民事行为能力人的法律规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十八条【完全民事行为能力人】成年人为完全民事行为能力人可以独立实施民事法律行为。十六周岁以上的未成年人以自己的劳动收入为主要生活来源的视为完全民事行为能力人。","第一编 总 则,无,第三章 法 人,第三节 非营利法人,第九十四条【捐助人的权利】捐助人有权向捐助法人查询捐助财产的使用、管理情况并提出意见和建议捐助法人应当及时、如实答复。捐助法人的决策机构、执行机构或者法定代表人作出决定的程序违反法律、行政法规、法人章程或者决定内容违反法人章程的捐助人等利害关系人或者主管机关可以请求人民法院撤销该决定。但是捐助法人依据该决定与善意相对人形成的民事法律关系不受影响。"
民法典中关于限制民事行为能力未成年人的民事法律行为规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十九条【限制民事行为能力的未成年人】八周岁以上的未成年人为限制民事行为能力人实施民事法律行为由其法定代理人代理或者经其法定代理人同意、追认但是可以独立实施纯获利益的民事法律行为或者与其年龄、智力相适应的民事法律行为。","第二编 物 权,第二分编 所 有 权,第四章 一 般 规 定,无,第二百四十条【所有权的定义】所有权人对自己的不动产或者动产依法享有占有、使用、收益和处分的权利。"
八周岁以上未成年人的民事法律行为能力规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十九条【限制民事行为能力的未成年人】八周岁以上的未成年人为限制民事行为能力人实施民事法律行为由其法定代理人代理或者经其法定代理人同意、追认但是可以独立实施纯获利益的民事法律行为或者与其年龄、智力相适应的民事法律行为。","第三编 合 同,第二分编 典 型 合 同,第十四章 租 赁 合 同,无,第七百零六条【租赁合同的登记备案手续对合同效力影响】当事人未依照法律、行政法规规定办理租赁合同登记备案手续的不影响合同的效力。"
《民法典》中关于八周岁以上未成年人实施民事法律行为的规定,"第一编 总 则,无,第二章 自 然 人,第一节 民事权利能力和民事行为能力,第十九条【限制民事行为能力的未成年人】八周岁以上的未成年人为限制民事行为能力人实施民事法律行为由其法定代理人代理或者经其法定代理人同意、追认但是可以独立实施纯获利益的民事法律行为或者与其年龄、智力相适应的民事法律行为。","第三编 合同,第二分编 典型合同,第二十七章 合伙合同,无,第九百七十七条【合伙合同终止】合伙人死亡、丧失民事行为能力或者终止的合伙合同终止但是合伙合同另有约定或者根据合伙事务的性质不宜终止的除外。"
